"Status Effective","Account Holder","Quantity of Credits","Retirement Reason","Retirement Reason Details","Credit Serial Numbers","Vintage","Protocol Version","Date Issued","ARB Eligible","Sustainable Development Goal(s)","Project ID","Project Name","Project Site Country","Project Site Location","Project Site State","Project Type",
"04/18/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1208574843O345-5 - Carolyn Deal","ACR-US-119-2004-164-119923463 to 119923482","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"04/16/2008","Commonwealth Resource Management Corporation","50","Retail Program Requirements","Retirement on behalf of FGW1208404688O344-9 - Planet Earth","ACR-US-119-2004-164-119923413 to 119923462","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"04/11/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1207946961O343-4 - Elizabeth Mahaffy","ACR-US-119-2004-164-119923403 to 119923412","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"04/02/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1207115437O342-5 - Jeff Lloyd","ACR-US-119-2004-164-119923383 to 119923402","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/25/2008","Commonwealth Resource Management Corporation","40","Retail Program Requirements","Retirement on behalf of FGW1206456291O341-7 - Nikos Nicopoulos","ACR-US-119-2004-164-119923343 to 119923382","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/20/2008","CoolClimate LLC","9318","Environmental Benefit","","ACR-US-163-2006-289-201058526 to 201067843","2006","Version 1.0","11/15/2007","No","","ACR163","Des Plaines LFG to Energy","US","Cook County, IL","ILLINOIS","Landfill Gas Capture & Combustion",
"03/20/2008","CoolClimate LLC","1000","Environmental Benefit","","ACR-US-163-2006-288-193062253 to 193063252","2006","Version 1.0","4/10/2007","No","","ACR163","Des Plaines LFG to Energy","US","Cook County, IL","ILLINOIS","Landfill Gas Capture & Combustion",
"03/20/2008","CoolClimate LLC","2682","Environmental Benefit","","ACR-US-163-2006-288-193063253 to 193065934","2006","Version 1.0","4/10/2007","No","","ACR163","Des Plaines LFG to Energy","US","Cook County, IL","ILLINOIS","Landfill Gas Capture & Combustion",
"03/20/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1206028734O340-4 - Jennifer Minton","ACR-US-119-2004-164-119923333 to 119923342","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/18/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1205871016O339-4 - JP","ACR-US-119-2004-164-119923323 to 119923332","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/17/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1205769103O338-4 - Elizabeth Snyder","ACR-US-119-2004-164-119923313 to 119923322","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/16/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1205706235O337-4 - Stephen Spears","ACR-US-119-2004-164-119923303 to 119923312","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/15/2008","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of EBH1205589722O316-6 - Michael Ganchar","ACR-US-119-2004-164-119923273 to 119923302","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/12/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1205332589O336-5 - Ocean Summit Students","ACR-US-119-2004-164-119923253 to 119923272","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/11/2008","Environmental Capital LLC","5000","On Behalf of Third Party","Retirement on behalf of LEAP CARS","ACR-US-164-2006-281-202297152 to 202302151","2006","Version 1.0","2/11/2008","No","","ACR164","DANC","US","Rodman, NY","NEW YORK","Landfill Gas Capture & Combustion",
"03/11/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1205276952O335-4 - Noe Kligge","ACR-US-119-2004-164-119923243 to 119923252","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/10/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of EBH1205173900O315-5 - James Moran","ACR-US-119-2004-164-119923223 to 119923242","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"03/05/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1204729529O334-4 - Lane Rosner and Louis Kieran","ACR-US-119-2004-164-119923213 to 119923222","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/28/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1204209207O333-4 - Concerned Citizen of the Earth","ACR-US-119-2004-164-119923203 to 119923212","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/22/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1203720829O332-4 - Amanda Krebs","ACR-US-119-2004-164-119923193 to 119923202","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/19/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1203454877O331-4 - David Snyder","ACR-US-119-2004-164-119923183 to 119923192","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/18/2008","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of FGW1203358528O330-6 - Doris Bittruf","ACR-US-119-2004-164-119923153 to 119923182","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/17/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1203251585O329-4 - Bernd + Gail Schneitler","ACR-US-119-2004-164-119923143 to 119923152","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/16/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of EBH1203186939O313-5 - Alexandra Lee","ACR-US-119-2004-164-119923123 to 119923142","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/13/2008","Commonwealth Resource Management Corporation","10000","On Behalf of Third Party","Retirement on behalf of BGL Group, Ltd.","ACR-US-119-2007-167-200887120 to 200897119","2007","Version 1.0","10/18/2007","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/09/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1202598103O328-4 - Joe D Moore II","ACR-US-119-2004-164-119923113 to 119923122","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"02/06/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of EBH1202331274O312-5 - Teachable Moments","ACR-US-119-2004-164-119923093 to 119923112","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"01/29/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1201613317O327-5 - Comfort Consults","ACR-US-119-2004-164-119922983 to 119923002","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"01/25/2008","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1201246755O326-4 - Jonathon Kass and Sarah Lucas","ACR-US-119-2004-164-119922973 to 119922982","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"01/22/2008","Commonwealth Resource Management Corporation","70","Retail Program Requirements","Retirement on behalf of EBH1201030733O310-9 - Delran Intermediate School","ACR-US-119-2004-164-119923023 to 119923092","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"01/13/2008","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of EBH1200247655O309-5 - Candia Smith","ACR-US-119-2004-164-119923003 to 119923022","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/31/2007","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of EBH1199132704O308-5 - James G. Peck","ACR-US-119-2004-164-119922953 to 119922972","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/31/2007","Interface, Inc.","181697","On Behalf of Third Party","Retirement on behalf of 2007 Cool Carpet Program","ACR-US-121-2007-137-201760760 to 201942456","2007","Version 1.0","12/31/2007","No","","ACR121","Pike's Peak Geo-Seq","US","Pecos County","TEXAS","Carbon Capture & Storage (CCS)",
"12/31/2007","Interface, Inc.","2529","On Behalf of Third Party","Retirement on behalf of 2007 Cool Fuel Program","ACR-US-121-2007-137-201942457 to 201944985","2007","Version 1.0","12/31/2007","No","","ACR121","Pike's Peak Geo-Seq","US","Pecos County","TEXAS","Carbon Capture & Storage (CCS)",
"12/31/2007","Interface, Inc.","15774","On Behalf of Third Party","Retirement on behalf of 2008 Cool Carpet Program","ACR-US-121-2007-137-201944986 to 201960759","2007","Version 1.0","12/31/2007","No","","ACR121","Pike's Peak Geo-Seq","US","Pecos County","TEXAS","Carbon Capture & Storage (CCS)",
"12/27/2007","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of EBH1198783436O306-6 - Kathryn and Tim","ACR-US-119-2004-164-119922913 to 119922942","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/27/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1198783831O307-4 - Lillian","ACR-US-119-2004-164-119922943 to 119922952","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/24/2007","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of FGW1198552598O323-6 - Kashi Ashram, Sebastian Florida","ACR-US-119-2004-164-119922563 to 119922592","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/22/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1198345311O321-4 - Jason Stewart","ACR-US-119-2004-164-119922543 to 119922552","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/22/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1198354766O322-4 - The Battos Family","ACR-US-119-2004-164-119922553 to 119922562","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/22/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1198335894O302-4 - Kevin Ulin","ACR-US-119-2004-164-119922843 to 119922852","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/22/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1198336593O304-4 - Frank K Roberts Jr & Allison Roberts","ACR-US-119-2004-164-119922853 to 119922862","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/22/2007","Commonwealth Resource Management Corporation","50","Retail Program Requirements","Retirement on behalf of EBH1198339980O305-9 - Stacie Barnes","ACR-US-119-2004-164-119922863 to 119922912","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/21/2007","CoolClimate LLC","25000","On Behalf of Third Party","Retirement on behalf of Native Energy","ACR-US-163-2006-289-201033526 to 201058525","2006","Version 1.0","11/15/2007","No","","ACR163","Des Plaines LFG to Energy","US","Cook County, IL","ILLINOIS","Landfill Gas Capture & Combustion",
"12/21/2007","CoolClimate LLC","10000","On Behalf of Third Party","Retirement on behalf of BGL Group","ACR-US-163-2007-290-201067844 to 201077843","2007","Version 1.0","11/15/2007","No","","ACR163","Des Plaines LFG to Energy","US","Cook County, IL","ILLINOIS","Landfill Gas Capture & Combustion",
"12/21/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1198261931O320-4 - Michael E. Moirano","ACR-US-119-2004-164-119922533 to 119922542","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/21/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1198261498O299-4 - Eric and Lyris Newman","ACR-US-119-2004-164-119922813 to 119922822","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/21/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1198264530O300-4 - Todd Tugwell","ACR-US-119-2004-164-119922823 to 119922832","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/21/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1198265870O301-4 - Bryce Tugwell","ACR-US-119-2004-164-119922833 to 119922842","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/20/2007","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1198164361O318-5 - Elizabeth Sampson","ACR-US-119-2004-164-119922493 to 119922512","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/20/2007","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1198171242O319-5 - Maya Lin","ACR-US-119-2004-164-119922513 to 119922532","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/20/2007","Commonwealth Resource Management Corporation","40","Retail Program Requirements","Retirement on behalf of EBH1198189705O298-7 - Deloitte Services LP/Michael McMahon","ACR-US-119-2004-164-119922773 to 119922812","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/19/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1198097845O317-4 - James C. Kean","ACR-US-119-2004-164-119922483 to 119922492","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/19/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1198113529O297-4 - M.","ACR-US-119-2004-164-119922763 to 119922772","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/18/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1198033454O316-4 - Steve Wirtz & Rhonda Rios Kravitz","ACR-US-119-2004-164-119922473 to 119922482","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/17/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197906156O314-4 - The Letendre Family","ACR-US-119-2004-164-119922453 to 119922462","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/17/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197906314O315-4 - Donald Letendre","ACR-US-119-2004-164-119922463 to 119922472","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/16/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197840685O312-4 - Bryan Neely","ACR-US-119-2004-164-119922433 to 119922442","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/16/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197841808O313-4 - Bob Izard","ACR-US-119-2004-164-119922443 to 119922452","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/15/2007","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of EBH1197771021O296-6 - Lucien","ACR-US-119-2004-164-119922733 to 119922762","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/14/2007","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of FGW1197690062O310-6 - Deiah Haddock","ACR-US-119-2004-164-119922383 to 119922412","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/14/2007","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1197693520O311-5 - Friends and Family","ACR-US-119-2004-164-119922413 to 119922432","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/13/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197550226O309-4 - SANDRA BAXTER","ACR-US-119-2004-164-119922373 to 119922382","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/12/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197518817O308-4 - Sheila Desai","ACR-US-119-2004-164-119922363 to 119922372","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/11/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197387929O306-4 - Laurie Motyka","ACR-US-119-2004-164-119922303 to 119922312","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/11/2007","Commonwealth Resource Management Corporation","50","Retail Program Requirements","Retirement on behalf of FGW1197397059O307-9 - Maria and Joe Andreano","ACR-US-119-2004-164-119922313 to 119922362","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/11/2007","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of EBH1197397303O292-6 - Elizabeth Deknatel","ACR-US-119-2004-164-119922653 to 119922682","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/11/2007","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of EBH1197397403O293-6 - Gabe and Katie","ACR-US-119-2004-164-119922683 to 119922712","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/11/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1197403414O294-4 - Margaret Sawyer","ACR-US-119-2004-164-119922713 to 119922722","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/11/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1197427954O295-4 - Kevin Wells","ACR-US-119-2004-164-119922723 to 119922732","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/10/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197344618O305-4 - Ellen C. Torrence","ACR-US-119-2004-164-119922293 to 119922302","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/09/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1197229955O291-4 - Charlie Kress","ACR-US-119-2004-164-119922643 to 119922652","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/08/2007","Commonwealth Resource Management Corporation","40","Retail Program Requirements","Retirement on behalf of FGW1197132429O303-7 - The Maxson Family","ACR-US-119-2004-164-119922233 to 119922272","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/08/2007","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1197134011O304-5 - Jim Gill","ACR-US-119-2004-164-119922273 to 119922292","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/07/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1197088068O302-4 - Yoon Mee Valliere","ACR-US-119-2004-164-119922223 to 119922232","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/05/2007","Commonwealth Resource Management Corporation","20","Retail Program Requirements","Retirement on behalf of FGW1196898668O301-5 - Peter Shattuck","ACR-US-119-2004-164-119922203 to 119922222","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/04/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1196787181O298-4 - Bob Buesing","ACR-US-119-2004-164-119922143 to 119922152","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/04/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1196789354O299-4 - Alanna fincke","ACR-US-119-2004-164-119922153 to 119922162","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/04/2007","Commonwealth Resource Management Corporation","40","Retail Program Requirements","Retirement on behalf of FGW1196821755O300-7 - sandy","ACR-US-119-2004-164-119922163 to 119922202","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/04/2007","Commonwealth Resource Management Corporation","40","Retail Program Requirements","Retirement on behalf of EBH1196795429O290-7 - Alice Doolittle & Tim Pearce","ACR-US-119-2004-164-119922603 to 119922642","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/03/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1196729958O295-4 - Ray and Janice Dymond","ACR-US-119-2004-164-119922113 to 119922122","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/03/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1196730312O296-4 - Norman and Barbara Horn","ACR-US-119-2004-164-119922123 to 119922132","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/03/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of FGW1196740586O297-4 - Robert and Lisa Mikkelsen","ACR-US-119-2004-164-119922133 to 119922142","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/02/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1196611402O288-4 - Micheal Johnson","ACR-US-119-2004-164-119922593 to 119922602","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"12/01/2007","Commonwealth Resource Management Corporation","30","Retail Program Requirements","Retirement on behalf of FGW1196533274O293-6 - Lisa and Robyn","ACR-US-119-2004-164-119922083 to 119922112","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
"11/30/2007","CoolClimate LLC","370","Environmental Benefit","","ACR-US-163-2006-288-193058883 to 193059252","2006","Version 1.0","4/10/2007","No","","ACR163","Des Plaines LFG to Energy","US","Cook County, IL","ILLINOIS","Landfill Gas Capture & Combustion",
"11/29/2007","Commonwealth Resource Management Corporation","10","Retail Program Requirements","Retirement on behalf of EBH1196394796O287-4 - Melissa Boteach, Jared Feldman and Hadar Susskind","ACR-US-119-2004-164-119922073 to 119922082","2004","Version 1.0","12/21/2005","No","","ACR119","North Country LFG","US","Bethlehem","NEW HAMPSHIRE","Landfill Gas Capture & Combustion",
